Regio's;Onderwerp;;2019;2020
Nederland;Bevolking aan het begin van de periode;aantal;17282163;17407585
Groningen (PV);Bevolking aan het begin van de periode;aantal;583990;585866
Fryslân (PV);Bevolking aan het begin van de periode;aantal;647672;649957
Drenthe (PV);Bevolking aan het begin van de periode;aantal;492167;493682
Overijssel (PV);Bevolking aan het begin van de periode;aantal;1156431;1162406
Flevoland (PV);Bevolking aan het begin van de periode;aantal;416546;423021
Gelderland (PV);Bevolking aan het begin van de periode;aantal;2071972;2085952
Utrecht (PV);Bevolking aan het begin van de periode;aantal;1342158;1354834
Noord-Holland (PV);Bevolking aan het begin van de periode;aantal;2853359;2879527
Zuid-Holland (PV);Bevolking aan het begin van de periode;aantal;3673893;3708696
Zeeland (PV);Bevolking aan het begin van de periode;aantal;383032;383488
Noord-Brabant (PV);Bevolking aan het begin van de periode;aantal;2544806;2562955
Limburg (PV);Bevolking aan het begin van de periode;aantal;1116137;1117201
Bron: CBS;;;;
